,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
78,2016-12-28,19:45 ,Premier League,Matchweek 18,Wed,Away,W,4,1,Southampton,66,"31,853",Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,2016-2017,2016-2017,2016-2017,,
79,2017-01-01,13:30 ,Premier League,Matchweek 19,Sun,Away,W,4,1,Watford,66,"20,882",Hugo Lloris,3-1-4-2,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
80,2017-01-04,20:00 ,Premier League,Matchweek 20,Wed,Home,W,2,0,Chelsea,46,"31,491",Hugo Lloris,3-4-3,Martin Atkinson,Match Report,,2016-2017,2016-2017,2016-2017,,
81,2017-01-08,16:00 ,FA Cup,Third round,Sun,Home,W,2,0,Aston Villa,,"31,182",,,Mike Dean,Match Report,,2016-2017,2016-2017,2016-2017,,
82,2017-01-14,12:30 ,Premier League,Matchweek 21,Sat,Home,W,4,0,West Brom,73,"31,613",Hugo Lloris,3-4-3,Anthony Taylor,Match Report,,2016-2017,2016-2017,2016-2017,,
83,2017-01-21,17:30 ,Premier League,Matchweek 22,Sat,Away,D,2,2,Manchester City,45,"54,402",Hugo Lloris,3-4-3,Andre Marriner,Match Report,,2016-2017,2016-2017,2016-2017,,
84,2017-01-28,15:00 ,FA Cup,Fourth round,Sat,Home,W,4,3,Wycombe,,"31,440",,,Roger East,Match Report,,2016-2017,2016-2017,2016-2017,,
85,2017-01-31,19:45 ,Premier League,Matchweek 23,Tue,Away,D,0,0,Sunderland,72,"40,058",Harry Kane,4-2-3-1,Lee Mason,Match Report,,2016-2017,2016-2017,2016-2017,,
86,2017-02-04,17:30 ,Premier League,Matchweek 24,Sat,Home,W,1,0,Middlesbrough,65,"31,949",Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,,2016-2017,2016-2017,2016-2017,,
87,2017-02-11,17:30 ,Premier League,Matchweek 25,Sat,Away,L,0,2,Liverpool,49,"53,159",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,2016-2017,2016-2017,2016-2017,,
88,2017-02-16,19:00 ,Europa Lg,Round of 32,Thu,Away,L,0,1,be Gent,55,"19,267",Hugo Lloris,4-3-3,Benoît Bastien,Match Report,Leg 1 of 2,2016-2017,2016-2017,2016-2017,,
89,2017-02-19,14:00 ,FA Cup,Fifth round,Sun,Away,W,3,0,Fulham,,"22,557",,,Robert Madley,Match Report,,2016-2017,2016-2017,2016-2017,,
90,2017-02-23,20:05 ,Europa Lg,Round of 32,Thu,Home,D,2,2,be Gent,65,"80,465",Hugo Lloris,3-4-3,Jorge de Sousa,Match Report,Leg 2 of 2; Gent won,2016-2017,2016-2017,2016-2017,,
91,2017-02-26,13:30 ,Premier League,Matchweek 26,Sun,Home,W,4,0,Stoke City,64,"31,864",Hugo Lloris,3-4-3,Jonathan Moss,Match Report,,2016-2017,2016-2017,2016-2017,,
92,2017-03-05,13:30 ,Premier League,Matchweek 27,Sun,Home,W,3,2,Everton,51,"31,962",Hugo Lloris,3-4-3,Michael Oliver,Match Report,,2016-2017,2016-2017,2016-2017,,
93,2017-03-12,14:00 ,FA Cup,Quarter-finals,Sun,Home,W,6,0,Millwall,,"31,137",,,Martin Atkinson,Match Report,,2016-2017,2016-2017,2016-2017,,
94,2017-03-19,14:15 ,Premier League,Matchweek 29,Sun,Home,W,2,1,Southampton,51,"31,697",Hugo Lloris,3-4-3,Andre Marriner,Match Report,,2016-2017,2016-2017,2016-2017,,
95,2017-04-01,15:00 ,Premier League,Matchweek 30,Sat,Away,W,2,0,Burnley,62,"21,684",Hugo Lloris,3-4-3,Stuart Attwell,Match Report,,2016-2017,2016-2017,2016-2017,,
96,2017-04-05,19:45 ,Premier League,Matchweek 31,Wed,Away,W,3,1,Swansea City,72,"20,855",Jan Vertonghen,4-2-3-1,Jonathan Moss,Match Report,,2016-2017,2016-2017,2016-2017,,
