,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
139,2008-11-22,,Premier League,Matchweek 14,Sat,Away,D,0,0,Chelsea,,,,4-4-2,Phil Dowd,Match Report,,2008-2009,2008-2009,2008-2009
140,2008-11-29,,Premier League,Matchweek 15,Sat,Away,D,0,0,Middlesbrough,,,,4-4-2,Alan Wiley,Match Report,,2008-2009,2008-2009,2008-2009
141,2008-12-06,,Premier League,Matchweek 16,Sat,Home,D,2,2,Stoke City,,"47,422",,4-4-2,Mike Riley,Match Report,,2008-2009,2008-2009,2008-2009
142,2008-12-14,,Premier League,Matchweek 17,Sun,Away,W,3,0,Portsmouth,,,,4-4-2,Chris Foy,Match Report,,2008-2009,2008-2009,2008-2009
143,2008-12-21,,Premier League,Matchweek 18,Sun,Home,W,2,1,Tottenham,,"47,982",,4-4-2,Andre Marriner,Match Report,,2008-2009,2008-2009,2008-2009
144,2008-12-26,,Premier League,Matchweek 19,Fri,Away,L,1,2,Wigan Athletic,,"20,266",,4-4-2,Mike Dean,Match Report,,2008-2009,2008-2009,2008-2009
145,2008-12-28,,Premier League,Matchweek 20,Sun,Home,L,1,5,Liverpool,,"52,114",,4-4-1-1,Mark Halsey,Match Report,,2008-2009,2008-2009,2008-2009
146,2009-01-10,,Premier League,Matchweek 21,Sat,Home,D,2,2,West Ham,,"47,571",,4-4-2,Alan Wiley,Match Report,,2008-2009,2008-2009,2008-2009
147,2009-01-17,,Premier League,Matchweek 22,Sat,Away,L,0,3,Blackburn,,"25,583",,4-4-2,Rob Styles,Match Report,,2008-2009,2008-2009,2008-2009
148,2009-01-28,,Premier League,Matchweek 23,Wed,Away,L,1,2,Manchester City,,"42,280",,4-4-2,Mike Jones,Match Report,,2008-2009,2008-2009,2008-2009
149,2009-02-01,,Premier League,Matchweek 24,Sun,Home,D,1,1,Sunderland,,"52,084",,4-4-2,Howard Webb,Match Report,,2008-2009,2008-2009,2008-2009
