,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
135,2008-05-07,,La Liga,Matchweek 36,Wed,Home,W,4,1,Barcelona,,,,,Pérez Burrull,Match Report,,2007-2008,2007-2008,2007-2008
136,2008-05-11,,La Liga,Matchweek 37,Sun,Away,D,2,2,Zaragoza,,,,,Pérez Lasa,Match Report,,2007-2008,2007-2008,2007-2008
137,2008-05-18,,La Liga,Matchweek 38,Sun,Home,W,5,2,Levante,,,,,Turienzo Álvarez,Match Report,,2007-2008,2007-2008,2007-2008
138,2008-08-31,,La Liga,Matchweek 1,Sun,Away,L,1,2,La Coruña,,,,4-2-3-1,Muñiz Fernández,Match Report,,2008-2009,2008-2009,2008-2009
139,2008-09-14,,La Liga,Matchweek 2,Sun,Home,W,4,3,Numancia,,,,4-2-3-1,Paradas Romero,Match Report,,2008-2009,2008-2009,2008-2009
140,2008-09-17,,Champions Lg,Group stage,Wed,Home,W,2,0,by BATE Borisov,,,,,Alain Hamer,Match Report,,2008-2009,2008-2009,2008-2009
141,2008-09-21,,La Liga,Matchweek 3,Sun,Away,W,2,0,Racing Sant,,,,4-2-3-1,Pérez Lasa,Match Report,,2008-2009,2008-2009,2008-2009
142,2008-09-24,,La Liga,Matchweek 4,Wed,Home,W,7,1,Sporting Gijón,,,,4-3-3,Rodríguez Santiago,Match Report,,2008-2009,2008-2009,2008-2009
143,2008-09-27,,La Liga,Matchweek 5,Sat,Away,W,2,1,Betis,,,,4-2-3-1,Teixeira Vitienes,Match Report,,2008-2009,2008-2009,2008-2009
144,2008-09-30,,Champions Lg,Group stage,Tue,Away,W,2,1,ru Zenit,,,,,Massimo Busacca,Match Report,,2008-2009,2008-2009,2008-2009
145,2008-10-05,,La Liga,Matchweek 6,Sun,Home,D,2,2,Espanyol,,,,4-3-3,Pérez Burrull,Match Report,,2008-2009,2008-2009,2008-2009
146,2008-10-18,,La Liga,Matchweek 7,Sat,Away,W,2,1,Atlético Madrid,,,,4-3-3,Clos Gómez,Match Report,,2008-2009,2008-2009,2008-2009
147,2008-10-21,,Champions Lg,Group stage,Tue,Away,L,1,2,it Juventus,,,,,Wolfgang Stark,Match Report,,2008-2009,2008-2009,2008-2009
148,2008-10-26,,La Liga,Matchweek 8,Sun,Home,W,3,2,Athletic Club,,,,4-3-3,Álvarez Izquierdo,Match Report,,2008-2009,2008-2009,2008-2009
149,2008-11-02,,La Liga,Matchweek 9,Sun,Away,D,1,1,Almería,,,,4-2-3-1,González Vázquez,Match Report,,2008-2009,2008-2009,2008-2009
150,2008-11-05,,Champions Lg,Group stage,Wed,Home,L,0,2,it Juventus,,,,,Pieter Vink,Match Report,,2008-2009,2008-2009,2008-2009
151,2008-11-08,,La Liga,Matchweek 10,Sat,Home,W,4,3,Málaga,,,,4-3-3,Iturralde González,Match Report,,2008-2009,2008-2009,2008-2009
152,2008-11-15,,La Liga,Matchweek 11,Sat,Away,L,0,1,Valladolid,,,,4-3-3,Fernández Borbalán,Match Report,,2008-2009,2008-2009,2008-2009
153,2008-11-22,,La Liga,Matchweek 12,Sat,Home,W,1,0,Recreativo,,,,4-3-3,Muñiz Fernández,Match Report,,2008-2009,2008-2009,2008-2009
154,2008-11-25,,Champions Lg,Group stage,Tue,Away,W,1,0,by BATE Borisov,,,,,Terje Hauge,Match Report,,2008-2009,2008-2009,2008-2009
155,2008-11-29,,La Liga,Matchweek 13,Sat,Away,L,1,3,Getafe,,,,4-3-3,Pérez Burrull,Match Report,,2008-2009,2008-2009,2008-2009
156,2008-12-07,,La Liga,Matchweek 14,Sun,Home,L,3,4,Sevilla,,,,4-3-3,González Vázquez,Match Report,,2008-2009,2008-2009,2008-2009
157,2008-12-10,,Champions Lg,Group stage,Wed,Home,W,3,0,ru Zenit,,,,,Jonas Eriksson,Match Report,,2008-2009,2008-2009,2008-2009
158,2008-12-13,,La Liga,Matchweek 15,Sat,Away,L,0,2,Barcelona,,,,4-4-2,Medina Cantalejo,Match Report,,2008-2009,2008-2009,2008-2009
159,2008-12-20,,La Liga,Matchweek 16,Sat,Home,W,1,0,Valencia,,,,4-3-3,Ramírez Domínguez,Match Report,,2008-2009,2008-2009,2008-2009
160,2009-01-04,,La Liga,Matchweek 17,Sun,Home,W,1,0,Villarreal,,,,4-4-2,Mejuto González,Match Report,,2008-2009,2008-2009,2008-2009
161,2009-01-11,,La Liga,Matchweek 18,Sun,Away,W,3,0,Mallorca,,,,4-4-2,Undiano Mallenco,Match Report,,2008-2009,2008-2009,2008-2009
162,2009-01-18,,La Liga,Matchweek 19,Sun,Home,W,3,1,Osasuna,,,,4-2-3-1,Pérez Burrull,Match Report,,2008-2009,2008-2009,2008-2009
163,2009-01-25,,La Liga,Matchweek 20,Sun,Home,W,1,0,La Coruña,,,,4-4-2,Teixeira Vitienes,Match Report,,2008-2009,2008-2009,2008-2009
164,2009-01-31,,La Liga,Matchweek 21,Sat,Away,W,2,0,Numancia,,,,4-4-2,Delgado Ferreiro,Match Report,,2008-2009,2008-2009,2008-2009
165,2009-02-07,,La Liga,Matchweek 22,Sat,Home,W,1,0,Racing Sant,,,,4-4-2,Clos Gómez,Match Report,,2008-2009,2008-2009,2008-2009
166,2009-02-15,,La Liga,Matchweek 23,Sun,Away,W,4,0,Sporting Gijón,,,,4-4-2,Mateu Lahoz,Match Report,,2008-2009,2008-2009,2008-2009
167,2009-02-21,,La Liga,Matchweek 24,Sat,Home,W,6,1,Betis,,,,4-4-2,Undiano Mallenco,Match Report,,2008-2009,2008-2009,2008-2009
168,2009-02-25,,Champions Lg,Round of 16,Wed,Home,L,0,1,eng Liverpool,,,,,Roberto Rosetti,Match Report,Leg 1 of 2,2008-2009,2008-2009,2008-2009
169,2009-02-28,,La Liga,Matchweek 25,Sat,Away,W,2,0,Espanyol,,,,4-2-3-1,Mejuto González,Match Report,,2008-2009,2008-2009,2008-2009
