,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
145,2005-02-06,,Premier League,Matchweek 26,Sun,Away,D,0,0,Chelsea,,"42,093",,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005
146,2005-02-13,,Premier League,Matchweek 27,Sun,Home,L,0,2,Manchester Utd,,"47,111",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
147,2005-02-28,,Premier League,Matchweek 28,Mon,Away,W,3,2,Norwich City,,"24,302",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
148,2005-03-07,,Premier League,Matchweek 29,Mon,Home,L,0,1,Bolton,,"43,050",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
149,2005-03-19,,Premier League,Matchweek 30,Sat,Away,L,1,2,Tottenham,,"35,861",,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005
150,2005-04-02,,Premier League,Matchweek 31,Sat,Away,D,2,2,Charlton Ath,,"26,443",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
151,2005-04-09,,Premier League,Matchweek 32,Sat,Home,W,1,0,Liverpool,,"47,203",,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005
152,2005-04-16,,Premier League,Matchweek 33,Sat,Away,D,1,1,Fulham,,"21,796",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
153,2005-04-20,,Premier League,Matchweek 34,Wed,Home,W,3,0,Birmingham City,,"42,453",,,Martin Atkinson,Match Report,,2004-2005,2004-2005,2004-2005
154,2005-04-23,,Premier League,Matchweek 35,Sat,Away,D,0,0,Blackburn,,"24,646",,,Chris Foy,Match Report,,2004-2005,2004-2005,2004-2005
155,2005-04-30,,Premier League,Matchweek 36,Sat,Home,W,2,0,Portsmouth,,"46,454",,,Andre Marriner,Match Report,,2004-2005,2004-2005,2004-2005
156,2005-05-07,,Premier League,Matchweek 37,Sat,Away,W,2,1,Aston Villa,,"39,645",,,Richard Beeby,Match Report,,2004-2005,2004-2005,2004-2005
157,2005-05-15,,Premier League,Matchweek 38,Sun,Home,D,1,1,Middlesbrough,,"47,221",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
