,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
84,2002-01-22,,Premier League,Matchweek 33,Tue,Away,W,1,0,Manchester Utd,,67599,,,Graham Barber,Match Report,,2001-2002,2001-2002,2001-2002,
85,2002-01-30,,Premier League,Matchweek 24,Wed,Home,W,1,0,Leicester City,,42305,,,Barry Knight,Match Report,,2001-2002,2001-2002,2001-2002,
86,2002-02-03,,Premier League,Matchweek 25,Sun,Away,W,4,0,Leeds United,,40216,,,Graham Poll,Match Report,,2001-2002,2001-2002,2001-2002,
87,2002-02-09,,Premier League,Matchweek 26,Sat,Away,W,6,0,Ipswich Town,,25608,,,Stephen Bennett,Match Report,,2001-2002,2001-2002,2001-2002,
88,2002-02-20,,Champions Lg,Second group stage,Wed,Home,D,0,0,tr Galatasaray,,,,,Vítor Melo Pereira,Match Report,,2001-2002,2001-2002,2001-2002,
89,2002-02-23,,Premier League,Matchweek 27,Sat,Home,D,1,1,Everton,,44371,,,David Elleray,Match Report,,2001-2002,2001-2002,2001-2002,
90,2002-02-26,,Champions Lg,Second group stage,Tue,Away,D,1,1,tr Galatasaray,,,,,Urs Meier,Match Report,,2001-2002,2001-2002,2001-2002,
91,2002-03-02,,Premier League,Matchweek 28,Sat,Away,W,2,0,Fulham,,21103,,,Alan Wiley,Match Report,,2001-2002,2001-2002,2001-2002,
92,2002-03-06,,Premier League,Matchweek 29,Wed,Home,W,3,0,Newcastle Utd,,44204,,,Jeff Winter,Match Report,,2001-2002,2001-2002,2001-2002,
93,2002-03-13,,Champions Lg,Second group stage,Wed,Away,D,0,0,es Barcelona,,,,,Kyros Vassaras,Match Report,,2001-2002,2001-2002,2001-2002,
94,2002-03-16,,Premier League,Matchweek 30,Sat,Away,W,2,1,Middlesbrough,,31253,,,Andy D'Urso,Match Report,,2001-2002,2001-2002,2001-2002,
95,2002-03-19,,Champions Lg,Second group stage,Tue,Home,W,2,0,it Roma,,,,,Rune Pedersen,Match Report,,2001-2002,2001-2002,2001-2002,
96,2002-03-24,,Premier League,Matchweek 31,Sun,Home,W,1,0,Chelsea,,44203,,,Mark Halsey,Match Report,,2001-2002,2001-2002,2001-2002,
