,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
84,2003-08-30,,Premier League,Matchweek 4,Sat,Away,W,3,0,Tottenham,,"33,421",,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004
85,2003-09-14,,Premier League,Matchweek 5,Sun,Away,D,2,2,Birmingham City,,"27,250",,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004
86,2003-09-20,,Premier League,Matchweek 6,Sat,Home,D,2,2,Manchester City,,"16,124",,,Phil Dowd,Match Report,,2003-2004,2003-2004,2003-2004
87,2003-09-28,,Premier League,Matchweek 7,Sun,Away,W,2,0,Blackburn,,"21,985",,,Matt Messias,Match Report,,2003-2004,2003-2004,2003-2004
88,2003-10-04,,Premier League,Matchweek 8,Sat,Home,W,2,0,Leicester City,,"14,612",,,Chris Foy,Match Report,,2003-2004,2003-2004,2003-2004
89,2003-10-18,,Premier League,Matchweek 9,Sat,Home,D,0,0,Wolves,,"17,031",,,Howard Webb,Match Report,,2003-2004,2003-2004,2003-2004
90,2003-10-21,,Premier League,Matchweek 3,Tue,Home,L,2,3,Newcastle Utd,,"15,241",,,Barry Knight,Match Report,,2003-2004,2003-2004,2003-2004
91,2003-10-25,,Premier League,Matchweek 10,Sat,Away,W,3,1,Manchester Utd,,"67,727",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
92,2003-11-02,,Premier League,Matchweek 11,Sun,Home,L,1,2,Liverpool,,"17,682",,,Rob Styles,Match Report,,2003-2004,2003-2004,2003-2004
93,2003-11-08,,Premier League,Matchweek 12,Sat,Away,L,1,3,Charlton Ath,,"26,285",,,Andy D'Urso,Match Report,,2003-2004,2003-2004,2003-2004
94,2003-11-24,,Premier League,Matchweek 13,Mon,Home,W,2,0,Portsmouth,,"15,624",,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004
95,2003-11-30,,Premier League,Matchweek 14,Sun,Away,D,0,0,Arsenal,,"38,063",,,Graham Barber,Match Report,,2003-2004,2003-2004,2003-2004
96,2003-12-06,,Premier League,Matchweek 15,Sat,Home,W,2,1,Bolton,,"14,393",,,Andy D'Urso,Match Report,,2003-2004,2003-2004,2003-2004
97,2003-12-14,,Premier League,Matchweek 16,Sun,Away,L,2,3,Leeds United,,"30,544",,,Neale Barry,Match Report,,2003-2004,2003-2004,2003-2004
98,2003-12-20,,Premier League,Matchweek 17,Sat,Home,L,0,1,Chelsea,,"18,431",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
99,2003-12-26,,Premier League,Matchweek 18,Fri,Home,W,2,0,Southampton,,"15,640",,,Dermot Gallagher,Match Report,,2003-2004,2003-2004,2003-2004
100,2003-12-28,,Premier League,Matchweek 19,Sun,Away,L,0,3,Aston Villa,,"35,617",,,Barry Knight,Match Report,,2003-2004,2003-2004,2003-2004
101,2004-01-07,,Premier League,Matchweek 20,Wed,Away,L,1,2,Middlesbrough,,"27,869",,,Paul Durkin,Match Report,,2003-2004,2003-2004,2003-2004
102,2004-01-10,,Premier League,Matchweek 21,Sat,Home,W,2,1,Everton,,"17,308",,,Graham Poll,Match Report,,2003-2004,2003-2004,2003-2004
103,2004-01-19,,Premier League,Matchweek 22,Mon,Away,L,1,3,Newcastle Utd,,"50,104",,,Neale Barry,Match Report,,2003-2004,2003-2004,2003-2004
104,2004-01-31,,Premier League,Matchweek 23,Sat,Home,W,2,1,Tottenham,,"17,024",,,Matt Messias,Match Report,,2003-2004,2003-2004,2003-2004
105,2004-02-07,,Premier League,Matchweek 24,Sat,Away,D,0,0,Southampton,,"31,820",,,Andy D'Urso,Match Report,,2003-2004,2003-2004,2003-2004
106,2004-02-11,,Premier League,Matchweek 25,Wed,Home,L,1,2,Aston Villa,,"16,153",,,Barry Knight,Match Report,,2003-2004,2003-2004,2003-2004
107,2004-02-21,,Premier League,Matchweek 26,Sat,Away,L,1,2,Wolves,,"28,424",,,Howard Webb,Match Report,,2003-2004,2003-2004,2003-2004
108,2004-02-28,,Premier League,Matchweek 27,Sat,Home,D,1,1,Manchester Utd,,"18,306",,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004
109,2004-03-13,,Premier League,Matchweek 28,Sat,Home,W,2,0,Leeds United,,"17,104",,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004
110,2004-03-20,,Premier League,Matchweek 29,Sat,Away,L,1,2,Chelsea,,"41,459",,,Neale Barry,Match Report,,2003-2004,2003-2004,2003-2004
111,2004-03-27,,Premier League,Matchweek 30,Sat,Away,D,0,0,Manchester City,,"46,522",,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004
112,2004-04-03,,Premier League,Matchweek 31,Sat,Home,D,0,0,Birmingham City,,"14,667",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
113,2004-04-10,,Premier League,Matchweek 32,Sat,Away,W,2,0,Leicester City,,"28,392",,,Mark Halsey,Match Report,,2003-2004,2003-2004,2003-2004
114,2004-04-12,,Premier League,Matchweek 33,Mon,Home,L,3,4,Blackburn,,"13,981",,,Mike Dean,Match Report,,2003-2004,2003-2004,2003-2004
115,2004-04-17,,Premier League,Matchweek 34,Sat,Away,D,0,0,Liverpool,,"42,042",,,Stephen Bennett,Match Report,,2003-2004,2003-2004,2003-2004
