,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
84,2007-03-31,,Premier League,Matchweek 31,Sat,Away,W,1,0,Watford,,19793,,,Uriah Rennie,Match Report,,2006-2007,2006-2007,2006-2007,,
85,2007-04-04,,Champions Lg,Quarter-finals,Wed,Home,D,1,1,es Valencia,,,,,Frank de Bleeckere,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007,,
86,2007-04-07,,Premier League,Matchweek 32,Sat,Home,W,1,0,Tottenham,,41869,,,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007,,
87,2007-04-10,,Champions Lg,Quarter-finals,Tue,Away,W,2,1,es Valencia,,,,,Kyros Vassaras,Match Report,Leg 2 of 2, Chelsea won,2006-2007,2006-2007,2006-2007,
88,2007-04-18,,Premier League,Matchweek 33,Wed,Away,W,4,1,West Ham,,35156,,,Mike Dean,Match Report,,2006-2007,2006-2007,2006-2007,,
89,2007-04-22,,Premier League,Matchweek 35,Sun,Away,D,0,0,Newcastle Utd,,52056,,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007,,
90,2007-04-25,,Champions Lg,Semi-finals,Wed,Home,W,1,0,eng Liverpool,,,,,Markus Merk,Match Report,Leg 1 of 2,2006-2007,2006-2007,2006-2007,,
91,2007-04-28,,Premier League,Matchweek 36,Sat,Home,D,2,2,Bolton,,41125,,4-3-3,Rob Styles,Match Report,,2006-2007,2006-2007,2006-2007,,
92,2007-05-01,,Champions Lg,Semi-finals,Tue,Away,L,0,1,eng Liverpool,,,,,Mejuto González,Match Report,Leg 2 of 2, Liverpool won, Liverpool won on penalty kicks following extra time,2006-2007,2006-2007,2006-2007
93,2007-05-06,,Premier League,Matchweek 37,Sun,Away,D,1,1,Arsenal,,60102,,,Alan Wiley,Match Report,,2006-2007,2006-2007,2006-2007,,
94,2007-05-09,,Premier League,Matchweek 34,Wed,Home,D,0,0,Manchester Utd,,41868,,,Graham Poll,Match Report,,2006-2007,2006-2007,2006-2007,,
95,2007-05-13,,Premier League,Matchweek 38,Sun,Home,D,1,1,Everton,,41818,,,Mark Halsey,Match Report,,2006-2007,2006-2007,2006-2007,,
96,2007-08-12,,Premier League,Matchweek 1,Sun,Home,W,3,2,Birmingham City,,,,,Stephen Bennett,Match Report,,2007-2008,2007-2008,2007-2008,,
97,2007-08-15,,Premier League,Matchweek 2,Wed,Away,W,2,1,Reading,,24031,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008,,
98,2007-08-19,,Premier League,Matchweek 3,Sun,Away,D,1,1,Liverpool,,,,,Rob Styles,Match Report,,2007-2008,2007-2008,2007-2008,,
99,2007-08-25,,Premier League,Matchweek 4,Sat,Home,W,1,0,Portsmouth,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008,,
100,2007-09-02,,Premier League,Matchweek 5,Sun,Away,L,0,2,Aston Villa,,,,,Mark Clattenburg,Match Report,,2007-2008,2007-2008,2007-2008,,
101,2007-09-15,,Premier League,Matchweek 6,Sat,Home,D,0,0,Blackburn,,,,,Howard Webb,Match Report,,2007-2008,2007-2008,2007-2008,,
102,2007-09-18,,Champions Lg,Group stage,Tue,Home,D,1,1,no Rosenborg,,,,,Laurent Duhamel,Match Report,,2007-2008,2007-2008,2007-2008,,
103,2007-09-23,,Premier League,Matchweek 7,Sun,Away,L,0,2,Manchester Utd,,,,,Mike Dean,Match Report,,2007-2008,2007-2008,2007-2008,,
104,2007-09-29,,Premier League,Matchweek 8,Sat,Home,D,0,0,Fulham,,,,,Martin Atkinson,Match Report,,2007-2008,2007-2008,2007-2008,,
105,2007-10-03,,Champions Lg,Group stage,Wed,Away,W,2,1,es Valencia,,,,,Roberto Rosetti,Match Report,,2007-2008,2007-2008,2007-2008,,
106,2007-10-07,,Premier League,Matchweek 9,Sun,Away,W,1,0,Bolton,,,,,Alan Wiley,Match Report,,2007-2008,2007-2008,2007-2008,,
